day,weather,high_temp,low_temp,wind
2020/1/1,阴/阴,10℃,6℃,无持续风向1-2级
2020/1/2,多云/多云,12℃,6℃,无持续风向1-2级
2020/1/3,多云/多云,13℃,7℃,无持续风向1-2级
2020/1/4,阴/多云,11℃,7℃,无持续风向1-2级
2020/1/5,阴/阴,10℃,7℃,无持续风向1-2级
2020/1/6,小雨/多云,10℃,4℃,无持续风向1-2级
2020/1/7,多云/多云,12℃,6℃,无持续风向1-2级
2020/1/8,阴/阴,10℃,5℃,无持续风向1-2级
2020/1/9,阴/小雨,9℃,5℃,无持续风向1-2级
2020/1/10,阴/多云,8℃,3℃,无持续风向1-2级
2020/1/11,晴/多云,11℃,5℃,无持续风向1-2级
2020/1/12,阴/阴,11℃,3℃,无持续风向1-2级
2020/1/13,阴/阴,9℃,6℃,无持续风向1-2级
2020/1/14,阴/阴,8℃,5℃,无持续风向1-2级
2020/1/15,小雨/多云,8℃,5℃,无持续风向1-2级
2020/1/16,阴/阴,10℃,5℃,无持续风向1-2级
2020/1/17,阴/小雨,8℃,5℃,无持续风向1-2级
2020/1/18,小雨/多云,7℃,4℃,无持续风向1-2级
2020/1/19,阴/多云,11℃,5℃,无持续风向1-2级
2020/1/20,阴/多云,10℃,5℃,无持续风向1-2级
2020/1/21,阴/多云,10℃,6℃,无持续风向1-2级
2020/1/22,阴/小雨,11℃,6℃,无持续风向1-2级
2020/1/23,阴/小雨,12℃,7℃,无持续风向1-2级
2020/1/24,小雨/阴,10℃,6℃,无持续风向1-2级
2020/1/25,多云/阴,11℃,5℃,无持续风向1-2级
2020/1/26,阴/阴,8℃,4℃,无持续风向1-2级
2020/1/27,小雨/小雨,7℃,4℃,无持续风向1-2级
2020/1/28,小雨/多云,8℃,4℃,无持续风向1-2级
2020/1/29,阴/多云,11℃,5℃,无持续风向1-2级
2020/1/30,阴/小雨,10℃,5℃,无持续风向1-2级
2020/1/31,小雨/小雨,8℃,6℃,无持续风向1-2级
2020/2/1,阴/小雨,9℃,6℃,无持续风向1-2级
2020/2/2,小雨/阴,11℃,5℃,无持续风向1-2级
2020/2/3,晴/晴,12℃,5℃,无持续风向1-2级
2020/2/4,阴/小雨,11℃,6℃,无持续风向1-2级
2020/2/5,小雨/小雨,9℃,6℃,无持续风向1-2级
2020/2/6,多云/阴,12℃,7℃,无持续风向1-2级
2020/2/7,小雨/小雨,10℃,7℃,无持续风向1-2级
2020/2/8,阴/多云,11℃,7℃,无持续风向1-2级
2020/2/9,多云/多云,14℃,7℃,无持续风向1-2级
2020/2/10,多云/阴,13℃,7℃,无持续风向1-2级
2020/2/11,多云/多云,15℃,8℃,无持续风向1-2级
2020/2/12,阴/多云,16℃,9℃,无持续风向1-2级
