day,weather,high_temp,low_temp,mean_temp
2020/1/1,“ı,10°Ê,6°Ê,8
2020/1/2,∂‡‘∆,12°Ê,6°Ê,9
2020/1/3,∂‡‘∆,13°Ê,7°Ê,10
2020/1/4,“ı,11°Ê,7°Ê,9
2020/1/5,“ı,10°Ê,7°Ê,8
2020/1/6,–°”Í,10°Ê,4°Ê,7
2020/1/7,∂‡‘∆,12°Ê,6°Ê,9
2020/1/8,“ı,10°Ê,5°Ê,7
2020/1/9,“ı,9°Ê,5°Ê,7
2020/1/10,“ı,8°Ê,3°Ê,5
2020/1/11,«Á,11°Ê,5°Ê,8
2020/1/12,“ı,11°Ê,3°Ê,7
2020/1/13,“ı,9°Ê,6°Ê,7
2020/1/14,“ı,8°Ê,5°Ê,6
2020/1/15,–°”Í,8°Ê,5°Ê,6
2020/1/16,“ı,10°Ê,5°Ê,7
2020/1/17,“ı,8°Ê,5°Ê,6
2020/1/18,–°”Í,7°Ê,4°Ê,5
2020/1/19,“ı,11°Ê,5°Ê,8
2020/1/20,“ı,10°Ê,5°Ê,7
2020/1/21,“ı,10°Ê,6°Ê,8
2020/1/22,“ı,11°Ê,6°Ê,8
2020/1/23,“ı,12°Ê,7°Ê,9
2020/1/24,–°”Í,10°Ê,6°Ê,8
2020/1/25,∂‡‘∆,11°Ê,5°Ê,8
2020/1/26,“ı,8°Ê,4°Ê,6
2020/1/27,–°”Í,7°Ê,4°Ê,5
2020/1/28,–°”Í,8°Ê,4°Ê,6
2020/1/29,“ı,11°Ê,5°Ê,8
2020/1/30,“ı,10°Ê,5°Ê,7
2020/1/31,–°”Í,8°Ê,6°Ê,7
2020/2/1,“ı,9°Ê,6°Ê,7
2020/2/2,–°”Í,11°Ê,5°Ê,8
2020/2/3,«Á,12°Ê,5°Ê,8
2020/2/4,“ı,11°Ê,6°Ê,8
2020/2/5,–°”Í,9°Ê,6°Ê,7
2020/2/6,∂‡‘∆,12°Ê,7°Ê,9
2020/2/7,–°”Í,10°Ê,7°Ê,8
2020/2/8,“ı,11°Ê,7°Ê,9
2020/2/9,∂‡‘∆,14°Ê,7°Ê,10
2020/2/10,∂‡‘∆,13°Ê,7°Ê,10
2020/2/11,∂‡‘∆,15°Ê,8°Ê,11
2020/2/12,“ı,16°Ê,9°Ê,12
2020/2/13,∂‡‘∆,17°Ê,10°Ê,13
2020/2/14,“ı,15°Ê,5°Ê,10
2020/2/15,“ı,9°Ê,2°Ê,5
2020/2/16,«Á,12°Ê,2°Ê,7
2020/2/17,∂‡‘∆,12°Ê,3°Ê,7
2020/2/18,“ı,11°Ê,4°Ê,7
2020/2/19,«Á,13°Ê,5°Ê,9
2020/2/20,“ı,13°Ê,7°Ê,10
2020/2/21,∂‡‘∆,15°Ê,8°Ê,11
2020/2/22,∂‡‘∆,14°Ê,8°Ê,11
2020/2/23,∂‡‘∆,15°Ê,9°Ê,12
2020/2/24,«Á,17°Ê,9°Ê,13
2020/2/25,∂‡‘∆,18°Ê,12°Ê,15
2020/2/26,∂‡‘∆,19°Ê,12°Ê,15
2020/2/27,∂‡‘∆,17°Ê,12°Ê,14
2020/2/28,–°”Í,19°Ê,10°Ê,14
2020/2/29,∂‡‘∆,20°Ê,12°Ê,16
2020/3/1,“ı,17°Ê,11°Ê,14
2020/3/2,–°”Í,12°Ê,9°Ê,10
2020/3/3,–°”Í,16°Ê,8°Ê,12
2020/3/4,∂‡‘∆,16°Ê,9°Ê,12
2020/3/5,–°”Í,15°Ê,9°Ê,12
2020/3/6,∂‡‘∆,16°Ê,10°Ê,13
2020/3/7,∂‡‘∆,19°Ê,12°Ê,15
2020/3/8,“ı,18°Ê,11°Ê,14
2020/3/9,∂‡‘∆,17°Ê,9°Ê,13
2020/3/10,∂‡‘∆,17°Ê,10°Ê,13
2020/3/11,“ı,15°Ê,9°Ê,12
2020/3/12,“ı,18°Ê,10°Ê,14
2020/3/13,∂‡‘∆,19°Ê,11°Ê,15
2020/3/14,∂‡‘∆,18°Ê,11°Ê,14
2020/3/15,“ı,16°Ê,11°Ê,13
2020/3/16,–°”Í,14°Ê,11°Ê,12
2020/3/17,∂‡‘∆,22°Ê,10°Ê,16
2020/3/18,∂‡‘∆,22°Ê,12°Ê,17
2020/3/19,«Á,25°Ê,12°Ê,18
2020/3/20,«Á,25°Ê,14°Ê,19
2020/3/21,∂‡‘∆,26°Ê,15°Ê,20
2020/3/22,∂‡‘∆,25°Ê,15°Ê,20
2020/3/23,“ı,25°Ê,15°Ê,20
2020/3/24,’Û”Í,23°Ê,15°Ê,19
2020/3/25,∂‡‘∆,25°Ê,16°Ê,20
2020/3/26,–°”Í,21°Ê,12°Ê,16
2020/3/27,–°”Í,18°Ê,10°Ê,14
2020/3/28,“ı,12°Ê,9°Ê,10
2020/3/29,∂‡‘∆,14°Ê,8°Ê,11
2020/3/30,“ı,14°Ê,8°Ê,11
2020/3/31,∂‡‘∆,21°Ê,11°Ê,16
2020/4/1,“ı,18°Ê,12°Ê,15
2020/4/2,“ı,14°Ê,10°Ê,12
2020/4/3,–°”Í,13°Ê,10°Ê,11
2020/4/4,“ı,14°Ê,10°Ê,12
2020/4/5,“ı,16°Ê,10°Ê,13
2020/4/6,“ı,17°Ê,10°Ê,13
2020/4/7,“ı,19°Ê,12°Ê,15
2020/4/8,∂‡‘∆,24°Ê,12°Ê,18
2020/4/9,∂‡‘∆,24°Ê,14°Ê,19
2020/4/10,“ı,23°Ê,13°Ê,18
2020/4/11,“ı,22°Ê,10°Ê,16
2020/4/12,“ı,22°Ê,12°Ê,17
2020/4/13,–°”Í,17°Ê,11°Ê,14
2020/4/14,∂‡‘∆,21°Ê,12°Ê,16
2020/4/15,∂‡‘∆,25°Ê,14°Ê,19
2020/4/16,“ı,27°Ê,17°Ê,22
2020/4/17,“ı,25°Ê,14°Ê,19
2020/4/18,∂‡‘∆,23°Ê,14°Ê,18
2020/4/19,“ı,22°Ê,14°Ê,18
2020/4/20,“ı,21°Ê,13°Ê,17
2020/4/21,“ı,17°Ê,10°Ê,13
2020/4/22,“ı,16°Ê,9°Ê,12
2020/4/23,“ı,16°Ê,9°Ê,12
2020/4/24,∂‡‘∆,23°Ê,10°Ê,16
2020/4/25,∂‡‘∆,23°Ê,12°Ê,17
2020/4/26,∂‡‘∆,28°Ê,15°Ê,21
2020/4/27,«Á,31°Ê,15°Ê,23
2020/4/28,«Á,30°Ê,17°Ê,23
2020/4/29,“ı,28°Ê,17°Ê,22
2020/4/30,∂‡‘∆,30°Ê,18°Ê,24
2020/5/1,∂‡‘∆,31°Ê,18°Ê,24
2020/5/2,«Á,34°Ê,19°Ê,26
2020/5/3,∂‡‘∆,34°Ê,21°Ê,27
2020/5/4,∂‡‘∆,31°Ê,21°Ê,26
2020/5/5,∂‡‘∆,31°Ê,21°Ê,26
2020/5/6,∂‡‘∆,29°Ê,21°Ê,25
2020/5/7,÷–”Í,27°Ê,20°Ê,23
2020/5/8,“ı,26°Ê,17°Ê,21
2020/5/9,∂‡‘∆,24°Ê,15°Ê,19
2020/5/10,∂‡‘∆,28°Ê,17°Ê,22
2020/5/11,∂‡‘∆,27°Ê,16°Ê,21
2020/5/12,“ı,26°Ê,14°Ê,20
2020/5/13,∂‡‘∆,25°Ê,15°Ê,20
2020/5/14,∂‡‘∆,28°Ê,17°Ê,22
2020/5/15,∂‡‘∆,30°Ê,19°Ê,24
2020/5/16,∂‡‘∆,30°Ê,20°Ê,25
