day,weekday,month,y,is_hoilday,weather,mean_temp,MA3
2020-01-01,3,1,0,1,阴,8,0
2020-01-02,4,1,0,0,多云,9,0
2020-01-03,5,1,0,0,多云,10,0
2020-01-04,6,1,0,1,阴,9,0
2020-01-05,7,1,4491,1,阴,8,4368.25
2020-01-06,1,1,5022,0,小雨,7,4489.25
2020-01-07,2,1,6114,0,多云,9,4749.75
2020-01-08,3,1,6117,0,阴,7,5085.25
2020-01-09,4,1,6854,0,阴,7,5436
2020-01-10,5,1,9282,0,阴,5,6026.75
2020-01-11,6,1,9743,1,晴,8,7091.75
2020-01-12,7,1,10035,1,阴,7,7999
2020-01-13,1,1,10460,0,阴,7,8978.5
2020-01-14,2,1,10187,0,阴,6,9880
2020-01-15,3,1,10715,0,小雨,6,10106.25
2020-01-16,4,1,11117,0,阴,7,10349.25
2020-01-17,5,1,11533,0,阴,6,10619.75
2020-01-18,6,1,10302,1,小雨,5,10888
2020-01-19,7,1,10781,1,阴,8,10916.75
2020-01-20,1,1,10082,0,阴,7,10933.25
2020-01-21,2,1,8596,0,阴,8,10674.5
2020-01-22,3,1,6345,0,阴,8,9940.25
2020-01-23,4,1,3597,0,阴,9,8951
2020-01-24,5,1,1721,1,小雨,8,7155
2020-01-25,6,1,1083,1,多云,8,5064.75
2020-01-26,7,1,982,0,阴,6,3186.5
2020-01-27,1,1,797,0,小雨,5,1845.75
2020-01-28,2,1,805,0,小雨,6,1145.75
2020-01-29,3,1,792,0,阴,8,916.75
2020-01-30,4,1,617,0,阴,7,844
2020-01-31,5,1,498,1,小雨,7,752.75
2020-02-01,6,2,366,1,阴,7,678
2020-02-02,7,2,325,0,小雨,8,568.25
2020-02-03,1,2,331,0,晴,8,451.5
2020-02-04,2,2,306,1,阴,8,380
2020-02-05,3,2,311,1,小雨,7,332
2020-02-06,4,2,281,1,多云,9,318.25
2020-02-07,5,2,304,1,小雨,8,307.25
2020-02-08,6,2,272,1,阴,9,300.5
2020-02-09,7,2,326,1,多云,10,292
2020-02-10,1,2,379,1,多云,10,295.75
2020-02-11,2,2,282,0,多云,11,320.25
2020-02-12,3,2,307,0,阴,12,314.75
2020-02-13,4,2,318,0,多云,13,323.5
2020-02-14,5,2,337,0,阴,10,321.5
2020-02-15,6,2,263,1,阴,5,311
2020-02-16,7,2,279,1,晴,7,306.25
2020-02-17,1,2,384,0,多云,7,299.25
2020-02-18,2,2,416,0,阴,7,315.75
2020-02-19,3,2,419,0,晴,9,335.5
2020-02-20,4,2,428,0,阴,10,374.5
2020-02-21,5,2,420,0,多云,11,411.75
2020-02-22,6,2,427,1,多云,11,420.75
2020-02-23,7,2,435,1,多云,12,423.5
2020-02-24,1,2,550,0,晴,13,427.5
2020-02-25,2,2,600,0,多云,15,458
2020-02-26,3,2,735,0,多云,15,503
2020-02-27,4,2,716,0,多云,14,580
2020-02-28,5,2,822,0,小雨,14,650.25
2020-02-29,6,2,667,1,多云,16,718.25
2020-03-01,7,3,744,1,阴,14,735
2020-03-02,1,3,1204,1,小雨,10,737.25
2020-03-03,2,3,1201,0,小雨,12,859.25
2020-03-04,3,3,1304,0,多云,12,954
2020-03-05,4,3,1556,0,小雨,12,1113.25
2020-03-06,5,3,1670,0,多云,13,1316.25
2020-03-07,6,3,1332,0,多云,15,1432.75
2020-03-08,7,3,1314,1,阴,14,1465.5
2020-03-09,1,3,2049,1,多云,13,1468
2020-03-10,2,3,2264,0,多云,13,1591.25
2020-03-11,3,3,2266,0,阴,12,1739.75
2020-03-12,4,3,2773,0,阴,14,1973.25
2020-03-13,5,3,2701,0,多云,15,2338
2020-03-14,6,3,2366,0,多云,14,2501
2020-03-15,7,3,2246,1,阴,13,2526.5
2020-03-16,1,3,3830,1,小雨,12,2521.5
2020-03-17,2,3,4255,0,多云,16,2785.75
2020-03-18,3,3,4587,0,多云,17,3174.25
2020-03-19,4,3,4719,0,晴,18,3729.5
2020-03-20,5,3,5072,0,晴,19,4347.75
2020-03-21,6,3,4051,0,多云,20,4658.25
