day,weather,high_temp,low_temp,mean_temp
2020-01-01,阴,10℃,6℃,8
2020-01-02,多云,12℃,6℃,9
2020-01-03,多云,13℃,7℃,10
2020-01-04,阴,11℃,7℃,9
2020-01-05,阴,10℃,7℃,8
2020-01-06,小雨,10℃,4℃,7
2020-01-07,多云,12℃,6℃,9
2020-01-08,阴,10℃,5℃,7
2020-01-09,阴,9℃,5℃,7
2020-01-10,阴,8℃,3℃,5
2020-01-11,晴,11℃,5℃,8
2020-01-12,阴,11℃,3℃,7
2020-01-13,阴,9℃,6℃,7
2020-01-14,阴,8℃,5℃,6
2020-01-15,小雨,8℃,5℃,6
2020-01-16,阴,10℃,5℃,7
2020-01-17,阴,8℃,5℃,6
2020-01-18,小雨,7℃,4℃,5
2020-01-19,阴,11℃,5℃,8
2020-01-20,阴,10℃,5℃,7
2020-01-21,阴,10℃,6℃,8
2020-01-22,阴,11℃,6℃,8
2020-01-23,阴,12℃,7℃,9
2020-01-24,小雨,10℃,6℃,8
2020-01-25,多云,11℃,5℃,8
2020-01-26,阴,8℃,4℃,6
2020-01-27,小雨,7℃,4℃,5
2020-01-28,小雨,8℃,4℃,6
2020-01-29,阴,11℃,5℃,8
2020-01-30,阴,10℃,5℃,7
2020-01-31,小雨,8℃,6℃,7
2020-02-01,阴,9℃,6℃,7
2020-02-02,小雨,11℃,5℃,8
2020-02-03,晴,12℃,5℃,8
2020-02-04,阴,11℃,6℃,8
2020-02-05,小雨,9℃,6℃,7
2020-02-06,多云,12℃,7℃,9
2020-02-07,小雨,10℃,7℃,8
2020-02-08,阴,11℃,7℃,9
2020-02-09,多云,14℃,7℃,10
2020-02-10,多云,13℃,7℃,10
2020-02-11,多云,15℃,8℃,11
2020-02-12,阴,16℃,9℃,12
2020-02-13,多云,17℃,10℃,13
2020-02-14,阴,15℃,5℃,10
2020-02-15,阴,9℃,2℃,5
2020-02-16,晴,12℃,2℃,7
2020-02-17,多云,12℃,3℃,7
2020-02-18,阴,11℃,4℃,7
2020-02-19,晴,13℃,5℃,9
2020-02-20,阴,13℃,7℃,10
2020-02-21,多云,15℃,8℃,11
2020-02-22,多云,14℃,8℃,11
2020-02-23,多云,15℃,9℃,12
2020-02-24,晴,17℃,9℃,13
2020-02-25,多云,18℃,12℃,15
2020-02-26,多云,19℃,12℃,15
2020-02-27,多云,17℃,12℃,14
2020-02-28,小雨,19℃,10℃,14
2020-02-29,多云,20℃,12℃,16
2020-03-01,阴,17℃,11℃,14
2020-03-02,小雨,12℃,9℃,10
2020-03-03,小雨,16℃,8℃,12
2020-03-04,多云,16℃,9℃,12
2020-03-05,小雨,15℃,9℃,12
2020-03-06,多云,16℃,10℃,13
2020-03-07,多云,19℃,12℃,15
2020-03-08,阴,18℃,11℃,14
2020-03-09,多云,17℃,9℃,13
2020-03-10,多云,17℃,10℃,13
2020-03-11,阴,15℃,9℃,12
2020-03-12,阴,18℃,10℃,14
2020-03-13,多云,19℃,11℃,15
2020-03-14,多云,18℃,11℃,14
2020-03-15,阴,16℃,11℃,13
2020-03-16,小雨,14℃,11℃,12
2020-03-17,多云,22℃,10℃,16
2020-03-18,多云,22℃,12℃,17
2020-03-19,晴,25℃,12℃,18
2020-03-20,晴,25℃,14℃,19
2020-03-21,多云,26℃,15℃,20
2020-03-22,多云,25℃,15℃,20
2020-03-23,阴,25℃,15℃,20
2020-03-24,阵雨,23℃,15℃,19
2020-03-25,多云,25℃,16℃,20
2020-03-26,小雨,21℃,12℃,16
2020-03-27,小雨,18℃,10℃,14
2020-03-28,阴,12℃,9℃,10
2020-03-29,多云,14℃,8℃,11
2020-03-30,阴,14℃,8℃,11
2020-03-31,多云,21℃,11℃,16
2020-04-01,阴,18℃,12℃,15
2020-04-02,阴,14℃,10℃,12
2020-04-03,小雨,13℃,10℃,11
2020-04-04,阴,14℃,10℃,12
2020-04-05,阴,16℃,10℃,13
2020-04-06,阴,17℃,10℃,13
2020-04-07,阴,19℃,12℃,15
2020-04-08,多云,24℃,12℃,18
2020-04-09,多云,24℃,14℃,19
2020-04-10,阴,23℃,13℃,18
2020-04-11,阴,22℃,10℃,16
2020-04-12,阴,22℃,12℃,17
2020-04-13,小雨,17℃,11℃,14
2020-04-14,多云,21℃,12℃,16
2020-04-15,多云,25℃,14℃,19
2020-04-16,阴,27℃,17℃,22
2020-04-17,阴,25℃,14℃,19
2020-04-18,多云,23℃,14℃,18
2020-04-19,阴,22℃,14℃,18
2020-04-20,阴,21℃,13℃,17
2020-04-21,阴,17℃,10℃,13
2020-04-22,阴,16℃,9℃,12
2020-04-23,阴,16℃,9℃,12
2020-04-24,多云,23℃,10℃,16
2020-04-25,多云,23℃,12℃,17
2020-04-26,多云,28℃,15℃,21
2020-04-27,晴,31℃,15℃,23
2020-04-28,晴,30℃,17℃,23
2020-04-29,阴,28℃,17℃,22
2020-04-30,多云,30℃,18℃,24
2020-05-01,多云,31℃,18℃,24
2020-05-02,晴,34℃,19℃,26
2020-05-03,多云,34℃,21℃,27
2020-05-04,多云,31℃,21℃,26
2020-05-05,多云,31℃,21℃,26
2020-05-06,多云,29℃,21℃,25
2020-05-07,中雨,27℃,20℃,23
2020-05-08,阴,26℃,17℃,21
2020-05-09,多云,24℃,15℃,19
2020-05-10,多云,28℃,17℃,22
2020-05-11,多云,27℃,16℃,21
2020-05-12,阴,26℃,14℃,20
2020-05-13,多云,25℃,15℃,20
2020-05-14,多云,28℃,17℃,22
2020-05-15,多云,30℃,19℃,24
2020-05-16,多云,30℃,20℃,25
2020-05-17,晴,34℃,20℃,27
2020-05-18,多云,34℃,20℃,27
2020-05-19,多云,32℃,19℃,25
2020-05-20,多云,29℃,20℃,24
2020-05-21,小雨,25℃,20℃,22
2020-05-22,阴,31℃,20℃,25
2020-05-23,多云,32℃,19℃,25
2020-05-24,小雨,20℃,16℃,18
2020-05-25,阴,25℃,17℃,21
2020-05-26,阴,26℃,17℃,21
2020-05-27,阴,23℃,16℃,19
2020-05-28,多云,25℃,15℃,20
2020-05-29,晴,30℃,17℃,23
2020-05-30,多云,30℃,19℃,24
2020-05-31,多云,30℃,20℃,25
2020-06-01,阵雨,28℃,18℃,23
2020-06-02,多云,25℃,18℃,21
2020-06-03,多云,29℃,18℃,23
2020-06-04,多云,30℃,19℃,24
2020-06-05,多云,33℃,21℃,27
2020-06-06,阴,31℃,20℃,25
2020-06-07,阵雨,29℃,21℃,25
2020-06-08,阵雨,25℃,20℃,22
2020-06-09,多云,31℃,20℃,25
2020-06-10,多云,29℃,20℃,24
2020-06-11,阴,29℃,22℃,25
2020-06-12,阴,31℃,23℃,27
2020-06-13,阵雨,31℃,23℃,27
2020-06-14,多云,32℃,22℃,27
2020-06-15,多云,31℃,22℃,26
2020-06-16,小雨,29℃,20℃,24
2020-06-17,小雨,27℃,21℃,24
2020-06-18,多云,31℃,21℃,26
2020-06-19,多云,30℃,21℃,25
2020-06-20,阵雨,28℃,21℃,24
2020-06-21,阵雨,28℃,21℃,24
2020-06-22,阵雨,28℃,22℃,25
2020-06-23,阵雨,31℃,22℃,26
2020-06-24,晴,33℃,23℃,28
2020-06-25,多云,33℃,23℃,28
2020-06-26,阵雨,31℃,20℃,25
2020-06-27,阵雨,29℃,21℃,25
2020-06-28,阴,31℃,23℃,27
2020-06-29,多云,32℃,23℃,27
2020-06-30,多云,34℃,23℃,28
2020-07-01,暴雨,27℃,21℃,24
2020-07-02,多云,33℃,22℃,27
2020-07-03,多云,33℃,22℃,27
2020-07-04,阵雨,28℃,22℃,25
2020-07-05,阴,30℃,22℃,26
2020-07-06,阴,30℃,22℃,26
2020-07-07,多云,33℃,23℃,28
2020-07-08,阵雨,33℃,24℃,28
2020-07-09,阵雨,33℃,22℃,27
2020-07-10,阵雨,26℃,21℃,23
2020-07-11,阴,29℃,21℃,25
2020-07-12,多云,31℃,22℃,26
2020-07-13,阵雨,30℃,22℃,26
2020-07-14,小雨,31℃,23℃,27
2020-07-15,大雨,28℃,22℃,25
2020-07-16,阵雨,28℃,23℃,25
2020-07-17,阴,33℃,24℃,28
2020-07-18,阵雨,32℃,22℃,27
2020-07-19,多云,33℃,22℃,27
2020-07-20,阴,29℃,19℃,24
2020-07-21,阵雨,25℃,20℃,22
2020-07-22,阵雨,29℃,21℃,25
2020-07-23,阵雨,31℃,22℃,26
2020-07-24,中雨,30℃,22℃,26
2020-07-25,中雨,27℃,21℃,24
2020-07-26,晴,34℃,21℃,27
2020-07-27,晴,33℃,23℃,28
2020-07-28,多云,34℃,24℃,29
2020-07-29,大雨,28℃,21℃,24
2020-07-30,大雨,25℃,21℃,23
