date,weather,temp,wind
2020-01-01,阴/阴,10℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-01-02,多云/多云,12℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-01-03,多云/多云,13℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-01-04,阴/多云,11℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-01-05,阴/阴,10℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-01-06,小雨/多云,10℃/4℃,无持续风向1-2级/无持续风向1-2级
2020-01-07,多云/多云,12℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-01-08,阴/阴,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-09,阴/小雨,9℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-10,阴/多云,8℃/3℃,无持续风向1-2级/无持续风向1-2级
2020-01-11,晴/多云,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-12,阴/阴,11℃/3℃,无持续风向1-2级/无持续风向1-2级
2020-01-13,阴/阴,9℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-01-14,阴/阴,8℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-15,小雨/多云,8℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-16,阴/阴,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-17,阴/小雨,8℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-18,小雨/多云,7℃/4℃,无持续风向1-2级/无持续风向1-2级
2020-01-19,阴/多云,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-20,阴/多云,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-21,阴/多云,10℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-01-22,阴/小雨,11℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-01-23,阴/小雨,12℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-01-24,小雨/阴,10℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-01-25,多云/阴,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-26,阴/阴,8℃/4℃,无持续风向1-2级/无持续风向1-2级
2020-01-27,小雨/小雨,7℃/4℃,无持续风向1-2级/无持续风向1-2级
2020-01-28,小雨/多云,8℃/4℃,无持续风向1-2级/无持续风向1-2级
2020-01-29,阴/多云,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-30,阴/小雨,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-01-31,小雨/小雨,8℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-02-01,阴/小雨,9℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-02-02,小雨/阴,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-02-03,晴/晴,12℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-02-04,阴/小雨,11℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-02-05,小雨/小雨,9℃/6℃,无持续风向1-2级/无持续风向1-2级
2020-02-06,多云/阴,12℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-02-07,小雨/小雨,10℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-02-08,阴/多云,11℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-02-09,多云/多云,14℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-02-10,多云/阴,13℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-02-11,多云/多云,15℃/8℃,无持续风向1-2级/无持续风向1-2级
2020-02-12,阴/多云,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-02-13,多云/小雨,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-02-14,阴/小雨,15℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-02-15,阴/多云,9℃/2℃,无持续风向1-2级/无持续风向1-2级
2020-02-16,晴/晴,12℃/2℃,无持续风向1-2级/无持续风向1-2级
2020-02-17,多云/晴,12℃/3℃,无持续风向1-2级/无持续风向1-2级
2020-02-18,阴/多云,11℃/4℃,无持续风向1-2级/无持续风向1-2级
2020-02-19,晴/阴,13℃/5℃,无持续风向1-2级/无持续风向1-2级
2020-02-20,阴/多云,13℃/7℃,无持续风向1-2级/无持续风向1-2级
2020-02-21,多云/多云,15℃/8℃,无持续风向1-2级/无持续风向1-2级
2020-02-22,多云/阴,14℃/8℃,无持续风向1-2级/无持续风向1-2级
2020-02-23,多云/多云,15℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-02-24,晴/晴,17℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-02-25,多云/阴,18℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-02-26,多云/阴,19℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-02-27,多云/阴,17℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-02-28,小雨/多云,19℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-02-29,多云/多云,20℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-03-01,阴/小雨,17℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-03-02,小雨/小雨,12℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-03-03,小雨/小雨,16℃/8℃,无持续风向1-2级/无持续风向1-2级
2020-03-04,多云/小雨,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-03-05,小雨/小雨,15℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-03-06,多云/小雨,16℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-03-07,多云/阴,19℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-03-08,阴/阴,18℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-03-09,多云/多云,17℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-03-10,多云/小雨,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-03-11,阴/多云,15℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-03-12,阴/多云,18℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-03-13,多云/多云,19℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-03-14,多云/多云,18℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-03-15,阴/小雨,16℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-03-16,小雨/阵雨,14℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-03-17,多云/晴,22℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-03-18,多云/多云,22℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-03-19,晴/多云,25℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-03-20,晴/多云,25℃/14℃,无持续风向1-2级/无持续风向1-2级
2020-03-21,多云/阴,26℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-03-22,多云/晴,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-03-23,阴/多云,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-03-24,阵雨/阴,23℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-03-25,多云/阴,25℃/16℃,无持续风向1-2级/无持续风向1-2级
2020-03-26,小雨/小雨,21℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-03-27,小雨/阴,18℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-03-28,阴/小雨,12℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-03-29,多云/阴,14℃/8℃,无持续风向1-2级/无持续风向1-2级
2020-03-30,阴/多云,14℃/8℃,无持续风向1-2级/无持续风向1-2级
2020-03-31,多云/阴,21℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-04-01,阴/小雨,18℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-04-02,阴/小雨,14℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-03,小雨/小雨,13℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-04,阴/小雨,14℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-05,阴/阴,16℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-06,阴/多云,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-07,阴/多云,19℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-04-08,多云/晴,24℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-04-09,多云/小雨,24℃/14℃,无持续风向1-2级/无持续风向1-2级
2020-04-10,阴/小雨,23℃/13℃,无持续风向1-2级/无持续风向1-2级
2020-04-11,阴/晴,22℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-12,阴/小雨,22℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-04-13,小雨/晴,17℃/11℃,无持续风向1-2级/无持续风向1-2级
2020-04-14,多云/多云,21℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-04-15,多云/多云,25℃/14℃,无持续风向1-2级/无持续风向1-2级
2020-04-16,阴/阴,27℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-04-17,阴/多云,25℃/14℃,无持续风向1-2级/无持续风向1-2级
2020-04-18,多云/多云,23℃/14℃,无持续风向1-2级/无持续风向1-2级
2020-04-19,阴/小雨,22℃/14℃,无持续风向1-2级/无持续风向1-2级
2020-04-20,阴/阴,21℃/13℃,无持续风向1-2级/无持续风向1-2级
2020-04-21,阴/阴,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-22,阴/小雨,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-04-23,阴/阴,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020-04-24,多云/阴,23℃/10℃,无持续风向1-2级/无持续风向1-2级
2020-04-25,多云/多云,23℃/12℃,无持续风向1-2级/无持续风向1-2级
2020-04-26,多云/晴,28℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-04-27,晴/晴,31℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-04-28,晴/阴,30℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-04-29,阴/阴,28℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-04-30,多云/多云,30℃/18℃,无持续风向1-2级/无持续风向1-2级
2020-05-01,多云/晴,31℃/18℃,无持续风向1-2级/无持续风向1-2级
2020-05-02,晴/晴,34℃/19℃,无持续风向1-2级/无持续风向1-2级
2020-05-03,多云/阴,34℃/21℃,无持续风向1-2级/无持续风向1-2级
2020-05-04,多云/多云,31℃/21℃,无持续风向1-2级/无持续风向1-2级
2020-05-05,多云/阴,31℃/21℃,无持续风向1-2级/无持续风向1-2级
2020-05-06,多云/小雨,29℃/21℃,无持续风向1-2级/无持续风向1-2级
2020-05-07,中雨/阴,27℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-05-08,阴/阴,26℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-05-09,多云/多云,24℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-05-10,多云/小雨,28℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-05-11,多云/阴,27℃/16℃,无持续风向1-2级/无持续风向1-2级
2020-05-12,阴/多云,26℃/14℃,无持续风向1-2级/无持续风向1-2级
2020-05-13,多云/小雨,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-05-14,多云/多云,28℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-05-15,多云/小雨,30℃/19℃,无持续风向1-2级/无持续风向1-2级
2020-05-16,多云/多云,30℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-05-17,晴/晴,34℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-05-18,多云/多云,34℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-05-19,多云/小雨,32℃/19℃,无持续风向1-2级/无持续风向1-2级
2020-05-20,多云/小雨,29℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-05-21,小雨/阴,25℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-05-22,阴/阴,31℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-05-23,多云/小雨,32℃/19℃,无持续风向1-2级/无持续风向1-2级
2020-05-24,小雨/小雨,20℃/16℃,东北风3-4级/东北风3-4级
2020-05-25,阴/多云,25℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-05-26,阴/小雨,26℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-05-27,阴/阴,23℃/16℃,无持续风向1-2级/无持续风向1-2级
2020-05-28,多云/多云,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020-05-29,晴/晴,30℃/17℃,无持续风向1-2级/无持续风向1-2级
2020-05-30,多云/阴,30℃/19℃,无持续风向1-2级/无持续风向1-2级
2020-05-31,多云/晴,30℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-06-01,阵雨/阵雨,28℃/18℃,无持续风向1-2级/无持续风向1-2级
2020-06-02,多云/多云,25℃/18℃,无持续风向1-2级/无持续风向1-2级
2020-06-03,多云/多云,29℃/18℃,无持续风向1-2级/无持续风向1-2级
2020-06-04,多云/多云,30℃/19℃,无持续风向1-2级/无持续风向1-2级
2020-06-05,多云/阴,33℃/21℃,无持续风向1-2级/无持续风向1-2级
2020-06-06,阴/阵雨,31℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-06-07,阵雨/阵雨,29℃/21℃,无持续风向1-2级/无持续风向1-2级
2020-06-08,阵雨/阴,25℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-06-09,多云/多云,31℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-06-10,多云/阴,29℃/20℃,无持续风向1-2级/无持续风向1-2级
2020-06-11,阴/多云,29℃/22℃,无持续风向1-2级/无持续风向1-2级
2020-06-12,阴/阴,31℃/23℃,无持续风向1-2级/无持续风向1-2级
2020-06-13,阵雨/多云,31℃/23℃,无持续风向1-2级/无持续风向1-2级
2020-06-14,多云/多云,32℃/22℃,无持续风向1-2级/无持续风向1-2级
2020-06-15,多云/大雨,31℃/22℃,无持续风向1-2级/无持续风向1-2级
2020-06-16,小雨/大雨,29℃/20℃,无持续风向1-2级/无持续风向1-2级
