station,section
Sta1,工业区
Sta10,商业区
Sta100,商业区
Sta101,住宅区
Sta102,仓储区
Sta103,商业区
Sta104,住宅区
Sta105,文教区
Sta106,住宅区
Sta107,中心商业区
Sta108,综合区
Sta109,风景区
Sta11,风景区
Sta110,住宅区
Sta111,住宅区
Sta112,风景区
Sta113,风景区
Sta114,商业区
Sta115,中心商业区
Sta116,住宅区
Sta117,风景区
Sta118,中心商业区
Sta119,卫星城
Sta12,工业区
Sta120,工业区
Sta121,风景区
Sta122,住宅区
Sta123,中心商业区
Sta124,住宅区
Sta125,风景区
Sta126,商业区
Sta127,中心商业区
Sta128,住宅区
Sta129,综合区
Sta13,住宅区
Sta130,工业区
Sta131,住宅区
Sta132,商业区
Sta133,仓储区
Sta134,商业区
Sta135,商业区
Sta136,住宅区
Sta137,住宅区
Sta138,仓储区
Sta139,文教区
Sta140,住宅区
Sta141,风景区
Sta142,风景区
Sta143,卫星城
Sta144,中心商业区
Sta145,商业区
Sta146,工业区
Sta147,风景区
Sta148,文教区
Sta149,住宅区
Sta15,中心商业区
Sta150,中心商业区
Sta151,仓储区
Sta152,工业区
Sta153,风景区
Sta154,住宅区
Sta156,卫星城
Sta157,商业区
Sta158,风景区
Sta159,综合区
Sta16,中心商业区
Sta160,中心商业区
Sta161,仓储区
Sta162,住宅区
Sta163,综合区
Sta164,工业区
Sta165,商业区
Sta166,住宅区
Sta167,商业区
Sta168,商业区
Sta17,住宅区
Sta18,中心商业区
Sta19,商业区
Sta2,商业区
Sta20,中心商业区
Sta21,仓储区
Sta22,仓储区
Sta23,中心商业区
Sta24,文教区
Sta25,综合区
Sta26,住宅区
Sta27,中心商业区
Sta28,住宅区
Sta29,商业区
Sta3,综合区
Sta30,中心商业区
Sta31,住宅区
Sta32,住宅区
Sta33,风景区
Sta34,住宅区
Sta35,风景区
Sta36,住宅区
Sta37,中心商业区
Sta38,商业区
Sta39,住宅区
Sta4,商业区
Sta40,商业区
Sta41,仓储区
Sta42,风景区
Sta43,住宅区
Sta44,风景区
Sta45,工业区
Sta46,住宅区
Sta47,中心商业区
Sta48,仓储区
Sta49,住宅区
Sta50,卫星城
Sta51,文教区
Sta52,文教区
Sta53,综合区
Sta54,住宅区
Sta55,中心商业区
Sta56,中心商业区
Sta57,文教区
Sta58,商业区
Sta59,住宅区
Sta6,仓储区
Sta60,文教区
Sta61,卫星城
Sta62,商业区
Sta63,综合区
Sta64,中心商业区
Sta65,住宅区
Sta66,卫星城
Sta67,中心商业区
Sta68,住宅区
Sta69,住宅区
Sta7,仓储区
Sta70,住宅区
Sta71,文教区
Sta72,住宅区
Sta73,文教区
Sta74,住宅区
Sta75,仓储区
Sta76,文教区
Sta77,住宅区
Sta78,综合区
Sta79,中心商业区
Sta8,仓储区
Sta80,住宅区
Sta81,住宅区
Sta82,工业区
Sta83,综合区
Sta84,商业区
Sta85,商业区
Sta86,中心商业区
Sta87,中心商业区
Sta88,中心商业区
Sta89,中心商业区
Sta9,综合区
Sta90,住宅区
Sta91,住宅区
Sta92,住宅区
Sta93,住宅区
Sta94,中心商业区
Sta95,住宅区
Sta96,商业区
Sta97,中心商业区
Sta99,住宅区
Sta98,中心商业区
Sta5,中心商业区
Sta14,文教区
Sta155,卫星城
