day,weekday,month,y,is_hoilday,mean_temp,MA3,weather_÷–”Í,weather_∂‡‘∆,weather_¥Û”Í,weather_–°”Í,weather_«Á,weather_±©”Í,weather_“ı,weather_’Û”Í
2020-07-14,2,7,14652.0,0,27,13287.5,0,0,0,1,0,0,0,0
2020-07-15,3,7,14390.0,0,25,13267.5,0,0,1,0,0,0,0,0
2020-07-16,4,7,14379.0,0,25,13850.0,0,0,0,0,0,0,0,1
2020-07-17,5,7,11606.833984375,0,28,14473.666666666666,0,0,0,0,0,0,1,0
2020-07-18,6,7,12387.4599609375,1,27,13458.611328125,0,0,0,0,0,0,0,1
2020-07-19,7,7,10827.45703125,1,27,12791.097981770834,0,1,0,0,0,0,0,0
2020-07-20,1,7,13931.64453125,0,24,11607.250325520834,0,0,0,0,0,0,1,0
2020-07-21,2,7,13205.5927734375,0,22,12382.187174479166,0,0,0,0,0,0,0,1
2020-07-22,3,7,13551.8935546875,0,25,12654.898111979166,0,0,0,0,0,0,0,1
2020-07-23,4,7,13488.1591796875,0,26,13563.043619791666,0,0,0,0,0,0,0,1
2020-07-24,5,7,14098.57421875,0,26,13415.215169270834,1,0,0,0,0,0,0,0
2020-07-25,6,7,12431.388671875,1,24,13712.875651041666,1,0,0,0,0,0,0,0
2020-07-26,7,7,10955.6298828125,1,27,13339.3740234375,0,0,0,0,1,0,0,0
2020-07-27,1,7,14059.962890625,0,28,12495.197591145834,0,0,0,0,1,0,0,0
2020-07-28,2,7,13740.7529296875,0,29,12482.3271484375,0,1,0,0,0,0,0,0
2020-07-29,3,7,13920.2646484375,0,24,12918.781901041666,0,0,1,0,0,0,0,0
2020-07-30,4,7,11862.0888671875,0,23,13906.993489583334,0,0,1,0,0,0,0,0
2020-07-31,5,7,13322.548828125,0,24,13174.368815104166,0,0,0,0,0,0,0,1
2020-08-01,6,8,11685.6259765625,1,26,13034.967447916666,0,0,0,0,0,0,1,0
2020-08-02,7,8,10218.046875,1,26,12290.087890625,0,0,0,0,0,0,0,1
2020-08-03,1,8,13918.048828125,0,27,11742.073893229166,0,0,0,0,0,0,0,1
2020-08-04,2,8,13899.642578125,0,27,11940.573893229166,0,0,0,0,0,0,0,1
2020-08-05,3,8,13481.1689453125,0,29,12678.579427083334,0,0,0,1,0,0,0,0
2020-08-06,4,8,11401.603515625,0,28,13766.286783854166,0,0,0,0,0,0,0,1
2020-08-07,5,8,13707.0654296875,0,25,12927.4716796875,0,0,1,0,0,0,0,0
2020-08-08,6,8,12053.36328125,1,29,12863.279296875,0,1,0,0,0,0,0,0
2020-08-09,7,8,10608.119140625,1,30,12387.344075520834,0,1,0,0,0,0,0,0
2020-08-10,1,8,13743.5908203125,0,29,12122.849283854166,0,1,0,0,0,0,0,0
2020-08-11,2,8,13661.748046875,0,25,12135.0244140625,0,0,0,0,0,0,0,1
2020-08-12,3,8,14079.8447265625,0,24,12671.152669270834,0,0,1,0,0,0,0,0
2020-08-13,4,8,11266.091796875,0,24,13828.39453125,0,0,0,1,0,0,0,0
2020-08-14,5,8,13152.8525390625,0,27,13002.5615234375,0,0,0,1,0,0,0,0
2020-08-15,6,8,11457.578125,1,24,12832.9296875,0,0,0,1,0,0,0,0
2020-08-16,7,8,10048.1220703125,1,23,11958.8408203125,0,0,0,1,0,0,0,0
2020-08-17,1,8,14046.6298828125,0,23,11552.850911458334,0,0,1,0,0,0,0,0
2020-08-18,2,8,12467.2021484375,0,21,11850.776692708334,0,0,0,1,0,0,0,0
2020-08-19,3,8,13869.671875,0,23,12187.318033854166,1,0,0,0,0,0,0,0
2020-08-20,4,8,14081.3994140625,0,23,13461.16796875,0,0,0,0,0,0,1,0
2020-08-21,5,8,14260.4306640625,0,26,13472.7578125,0,1,0,0,0,0,0,0
2020-08-22,6,8,11454.9482421875,1,24,14070.500651041666,0,0,0,0,0,0,0,1
2020-08-23,7,8,10271.0361328125,1,25,13265.5927734375,0,0,0,0,0,0,0,1
2020-08-24,1,8,13723.619140625,0,25,11995.4716796875,0,0,0,0,0,0,0,1
2020-08-25,2,8,13865.306640625,0,26,11816.534505208334,0,0,0,0,1,0,0,0
2020-08-26,3,8,14571.6962890625,0,26,12619.9873046875,0,0,0,0,1,0,0,0
2020-08-27,4,8,11959.849609375,0,28,14053.540690104166,0,1,0,0,0,0,0,0
2020-08-28,5,8,14260.4306640625,0,26,13465.617513020834,0,1,0,0,0,0,0,0
2020-08-29,6,8,12109.6298828125,1,25,13597.325520833334,0,0,0,0,0,0,0,1
2020-08-30,7,8,10262.4794921875,1,22,12776.63671875,0,0,1,0,0,0,0,0
2020-08-31,1,8,12176.8408203125,0,21,12210.8466796875,0,1,0,0,0,0,0,0
2020-09-01,2,9,13870.2978515625,0,24,11516.316731770834,0,0,0,0,0,0,1,0
2020-09-02,3,9,13626.9775390625,0,25,12103.2060546875,0,1,0,0,0,0,0,0
2020-09-03,4,9,13658.12109375,0,25,13224.705403645834,0,1,0,0,0,0,0,0
2020-09-04,5,9,14193.529296875,0,25,13718.465494791666,0,1,0,0,0,0,0,0
2020-09-05,6,9,11051.021484375,1,22,13826.209309895834,0,0,0,0,0,0,0,1
2020-09-06,7,9,10514.94140625,1,26,12967.557291666666,0,0,0,0,1,0,0,0
2020-09-07,1,9,13836.2490234375,0,26,11919.830729166666,0,0,0,0,1,0,0,0
2020-09-08,2,9,13664.9345703125,0,25,11800.7373046875,0,1,0,0,0,0,0,0
2020-09-09,3,9,13712.21875,0,23,12672.041666666666,0,0,0,0,0,0,0,1
2020-09-10,4,9,13939.064453125,0,24,13737.80078125,0,1,0,0,0,0,0,0
2020-09-11,5,9,11467.453125,0,22,13772.072591145834,0,0,0,0,0,0,1,0
2020-09-12,6,9,11106.9208984375,0,19,13039.578776041666,0,0,0,0,0,0,0,1
2020-09-13,7,9,9930.5400390625,1,19,12171.146158854166,0,0,0,0,0,0,0,1
