sta_name,7-9,10-12,13-15,16-18,19-21
Sta1,0,0,0,0,0
Sta2,2,2,1,0,2
Sta3,0,0,2,2,0
Sta4,2,1,0,7,1
Sta5,0,0,0,0,0
Sta6,0,0,1,4,0
Sta7,1,2,2,1,0
Sta8,2,0,1,1,0
Sta9,5,18,17,21,10
Sta10,1,0,0,1,1
Sta11,0,0,0,0,0
Sta12,0,0,0,0,0
Sta13,0,0,1,3,1
Sta14,0,0,0,0,0
Sta15,8,4,5,9,3
Sta16,5,1,1,5,1
Sta17,15,1,4,15,4
Sta18,2,1,0,1,0
Sta19,1,0,0,2,0
Sta20,0,0,2,72,26
Sta21,0,0,0,0,0
Sta22,0,0,0,3,5
Sta23,0,0,0,16,12
Sta24,0,0,0,0,1
Sta25,10,4,3,7,7
Sta26,3,4,0,11,2
Sta27,4,5,2,8,2
Sta28,11,5,4,4,8
Sta29,0,0,0,5,1
Sta30,3,0,6,14,13
Sta31,13,5,7,5,5
Sta32,12,1,1,10,4
Sta33,2,0,1,1,0
Sta34,0,3,4,1,1
Sta35,6,6,4,4,5
Sta36,1,2,1,5,0
Sta37,3,1,2,8,8
Sta38,1,0,0,0,0
Sta39,0,0,0,0,0
Sta40,0,1,2,24,18
Sta41,3,1,2,6,3
Sta42,10,3,2,4,3
Sta43,0,0,0,4,1
Sta44,7,0,0,6,2
Sta45,0,0,0,0,0
Sta46,1,1,5,14,7
Sta47,6,4,2,10,8
Sta48,3,1,4,2,2
Sta49,6,10,7,7,10
Sta50,0,0,0,1,0
Sta51,2,0,0,0,0
Sta52,3,0,0,4,2
Sta53,4,3,3,8,1
Sta54,25,5,4,8,7
Sta55,8,2,3,10,7
Sta56,0,1,0,6,5
Sta57,0,2,0,1,0
Sta58,0,0,0,0,0
Sta59,4,0,1,6,1
Sta60,3,0,3,2,0
Sta61,0,0,2,5,1
Sta62,1,1,1,2,0
Sta63,9,17,28,48,36
Sta64,3,4,1,4,5
Sta65,13,6,1,8,6
Sta66,0,0,0,0,0
Sta67,0,0,0,0,6
Sta68,11,8,4,5,0
Sta69,1,1,5,28,18
Sta70,0,0,0,1,3
Sta71,1,0,0,2,0
Sta72,7,1,4,8,3
Sta73,3,0,1,0,2
Sta74,7,6,3,10,7
Sta75,1,0,1,0,0
Sta76,14,1,3,2,1
Sta77,1,0,1,1,0
Sta78,0,1,3,4,0
Sta79,2,13,13,4,2
Sta80,5,5,6,6,1
Sta81,20,7,13,22,8
Sta82,2,1,4,4,1
Sta83,0,0,0,0,0
Sta84,5,3,2,6,2
Sta85,6,2,1,2,5
Sta86,0,0,1,29,10
Sta87,4,7,6,11,9
Sta88,2,13,13,18,15
Sta89,52,15,20,39,40
Sta90,1,4,1,23,14
Sta91,7,1,5,4,5
Sta92,4,6,2,5,5
Sta93,6,4,2,3,1
Sta94,3,0,0,3,3
Sta95,18,3,6,8,4
Sta96,6,1,2,2,2
Sta97,5,1,3,0,1
Sta98,0,0,0,0,0
Sta99,13,4,7,7,7
Sta100,0,0,0,5,5
Sta101,7,0,5,5,4
Sta102,0,0,0,2,2
Sta103,1,1,1,1,0
Sta104,0,0,0,0,0
Sta105,3,1,0,0,0
Sta106,0,0,1,0,0
Sta107,0,0,0,0,9
Sta108,0,0,0,0,0
Sta109,0,0,0,0,1
Sta110,0,0,0,0,0
Sta111,0,0,1,2,3
Sta112,2,3,3,2,3
Sta113,5,1,3,5,1
Sta114,9,2,0,2,5
Sta115,17,15,16,42,18
Sta116,0,0,0,1,0
Sta117,6,0,2,2,1
Sta118,8,4,4,9,7
Sta119,0,0,0,0,0
Sta120,8,3,6,10,4
Sta121,6,5,1,4,1
Sta122,8,3,4,3,2
Sta123,8,5,10,4,4
Sta124,3,1,2,1,1
Sta125,3,1,2,5,2
Sta126,11,10,27,58,47
Sta127,23,12,7,14,14
Sta128,0,1,0,6,1
Sta129,12,18,27,28,16
Sta130,8,3,3,10,3
Sta131,0,0,0,6,3
Sta132,12,0,9,6,4
Sta133,0,0,0,0,0
Sta134,14,40,35,64,28
Sta135,0,1,3,9,4
Sta136,12,5,3,8,8
Sta137,8,5,3,11,1
Sta138,0,0,0,0,1
Sta139,4,1,3,0,0
Sta140,1,0,1,1,1
Sta141,4,2,9,16,15
Sta142,0,0,0,0,0
Sta143,0,0,0,0,0
Sta144,0,0,0,0,0
Sta145,2,0,1,2,2
Sta146,16,5,2,4,1
Sta147,0,0,0,0,0
Sta148,4,2,1,5,1
Sta149,7,4,1,2,3
Sta150,1,0,1,1,2
Sta151,4,4,1,4,1
Sta152,0,0,0,1,1
Sta153,0,0,0,6,0
Sta154,2,1,0,0,4
Sta155,0,0,0,0,0
Sta156,0,0,0,0,0
Sta157,12,3,5,4,2
Sta158,8,6,4,6,7
Sta159,3,0,2,8,0
Sta160,8,5,7,3,8
Sta161,0,0,0,0,0
Sta162,0,0,0,8,9
Sta163,2,2,6,6,2
Sta164,0,0,0,1,0
Sta165,2,1,0,0,1
Sta166,0,0,0,1,0
Sta167,0,0,1,1,1
Sta168,10,5,3,7,5
