day,weather,high_temp,low_temp,mean_temp
2020-01-01,“ı,10,6,8
2020-01-02,∂‡‘∆,12,6,9
2020-01-03,∂‡‘∆,13,7,10
2020-01-04,“ı,11,7,9
2020-01-05,“ı,10,7,8
2020-01-06,–°”Í,10,4,7
2020-01-07,∂‡‘∆,12,6,9
2020-01-08,“ı,10,5,7
2020-01-09,“ı,9,5,7
2020-01-10,“ı,8,3,5
2020-01-11,«Á,11,5,8
2020-01-12,“ı,11,3,7
2020-01-13,“ı,9,6,7
2020-01-14,“ı,8,5,6
2020-01-15,–°”Í,8,5,6
2020-01-16,“ı,10,5,7
2020-01-17,“ı,8,5,6
2020-01-18,–°”Í,7,4,5
2020-01-19,“ı,11,5,8
2020-01-20,“ı,10,5,7
2020-01-21,“ı,10,6,8
2020-01-22,“ı,11,6,8
2020-01-23,“ı,12,7,9
2020-01-24,–°”Í,10,6,8
2020-01-25,∂‡‘∆,11,5,8
2020-01-26,“ı,8,4,6
2020-01-27,–°”Í,7,4,5
2020-01-28,–°”Í,8,4,6
2020-01-29,“ı,11,5,8
2020-01-30,“ı,10,5,7
2020-01-31,–°”Í,8,6,7
2020-02-01,“ı,9,6,7
2020-02-02,–°”Í,11,5,8
2020-02-03,«Á,12,5,8
2020-02-04,“ı,11,6,8
2020-02-05,–°”Í,9,6,7
2020-02-06,∂‡‘∆,12,7,9
2020-02-07,–°”Í,10,7,8
2020-02-08,“ı,11,7,9
2020-02-09,∂‡‘∆,14,7,10
2020-02-10,∂‡‘∆,13,7,10
2020-02-11,∂‡‘∆,15,8,11
2020-02-12,“ı,16,9,12
2020-02-13,∂‡‘∆,17,10,13
2020-02-14,“ı,15,5,10
2020-02-15,“ı,9,2,5
2020-02-16,«Á,12,2,7
2020-02-17,∂‡‘∆,12,3,7
2020-02-18,“ı,11,4,7
2020-02-19,«Á,13,5,9
2020-02-20,“ı,13,7,10
2020-02-21,∂‡‘∆,15,8,11
2020-02-22,∂‡‘∆,14,8,11
2020-02-23,∂‡‘∆,15,9,12
2020-02-24,«Á,17,9,13
2020-02-25,∂‡‘∆,18,12,15
2020-02-26,∂‡‘∆,19,12,15
2020-02-27,∂‡‘∆,17,12,14
2020-02-28,–°”Í,19,10,14
2020-02-29,∂‡‘∆,20,12,16
2020-03-01,“ı,17,11,14
2020-03-02,–°”Í,12,9,10
2020-03-03,–°”Í,16,8,12
