day,flow
2020-01-01,1390
2020-01-02,1317
2020-01-03,1576
2020-01-04,1547
2020-01-05,1552
2020-01-06,1639
2020-01-07,1928
2020-01-08,1992
2020-01-09,2235
2020-01-10,2915
2020-01-11,3037
2020-01-12,3109
2020-01-13,3269
2020-01-14,3194
2020-01-15,3327
2020-01-16,3442
2020-01-17,3628
2020-01-18,3319
2020-01-19,3459
2020-01-20,3235
2020-01-21,2824
2020-01-22,2140
2020-01-23,1288
2020-01-24,651
2020-01-25,357
2020-01-26,363
2020-01-27,303
2020-01-28,296
2020-01-29,317
2020-01-30,231
2020-01-31,191
2020-02-01,154
2020-02-02,133
2020-02-03,136
2020-02-04,123
2020-02-05,125
2020-02-06,115
2020-02-07,122
2020-02-08,120
2020-02-09,139
2020-02-10,148
2020-02-11,112
2020-02-12,113
2020-02-13,116
2020-02-14,126
2020-02-15,102
2020-02-16,111
2020-02-17,132
2020-02-18,141
2020-02-19,164
2020-02-20,156
2020-02-21,153
2020-02-22,166
2020-02-23,172
2020-02-24,216
2020-02-25,217
2020-02-26,270
2020-02-27,269
2020-02-28,303
2020-02-29,253
2020-03-01,278
2020-03-02,414
2020-03-03,426
2020-03-04,452
2020-03-05,514
2020-03-06,560
2020-03-07,463
2020-03-08,452
2020-03-09,677
2020-03-10,729
2020-03-11,741
2020-03-12,897
2020-03-13,887
2020-03-14,775
2020-03-15,773
2020-03-16,1219
2020-03-17,1365
2020-03-18,1475
2020-03-19,1490
2020-03-20,1609
2020-03-21,1317
2020-03-22,1258
2020-03-23,1795
2020-03-24,1867
2020-03-25,1805
2020-03-26,1910
2020-03-27,2012
2020-03-28,1535
2020-03-29,1553
2020-03-30,2197
2020-03-31,2268
2020-04-01,2232
2020-04-02,2316
2020-04-03,2450
2020-04-04,1705
2020-04-05,1569
2020-04-06,1966
2020-04-07,2656
2020-04-08,2649
2020-04-09,2661
2020-04-10,2781
2020-04-11,2238
2020-04-12,2326
2020-04-13,2911
2020-04-14,2872
2020-04-15,2880
2020-04-16,2835
2020-04-17,3011
2020-04-18,2246
2020-04-19,2317
2020-04-20,3015
2020-04-21,2774
2020-04-22,2809
2020-04-23,2814
2020-04-24,3156
2020-04-25,2501
2020-04-26,3099
2020-04-27,3256
2020-04-28,3226
2020-04-29,3280
2020-04-30,3766
2020-05-01,3069
2020-05-02,2960
2020-05-03,3004
2020-05-04,2859
2020-05-05,2969
2020-05-06,3511
2020-05-07,3534
2020-05-08,3540
2020-05-09,3757
2020-05-10,2831
2020-05-11,3592
2020-05-12,3665
2020-05-13,3723
2020-05-14,3647
2020-05-15,4133
2020-05-16,3281
2020-05-17,3230
2020-05-18,3884
2020-05-19,3748
2020-05-20,4088
2020-05-21,3806
2020-05-22,4207
2020-05-23,3292
2020-05-24,3097
2020-05-25,3894
2020-05-26,3918
2020-05-27,3910
2020-05-28,3937
2020-05-29,4413
2020-05-30,3527
2020-05-31,3316
2020-06-01,4330
2020-06-02,3765
2020-06-03,4123
2020-06-04,4103
2020-06-05,4365
2020-06-06,3762
2020-06-07,3236
2020-06-08,4092
2020-06-09,4124
2020-06-10,4070
2020-06-11,4263
2020-06-12,4616
2020-06-13,3666
2020-06-14,3583
2020-06-15,4342
2020-06-16,4063
2020-06-17,4075
2020-06-18,4202
2020-06-19,4637
2020-06-20,3600
2020-06-21,3481
2020-06-22,4238
2020-06-23,4214
2020-06-24,5199
2020-06-25,3663
2020-06-26,3359
2020-06-27,3413
2020-06-28,4363
2020-06-29,4398
2020-06-30,4232
2020-07-01,2586
2020-07-02,3545
2020-07-03,4156
2020-07-04,3236
2020-07-05,3185
2020-07-06,4243
2020-07-07,3884
2020-07-08,4234
2020-07-09,4205
2020-07-10,4721
2020-07-11,3857
2020-07-12,3764
2020-07-13,4551
2020-07-14,4535
2020-07-15,4441
2020-07-16,4491
