day,weekday,month,is_hoilday,weather,mean_temp,y,section,hour
2020-05-01,5,5,1,多云,24,45,Sta1-Sta159,7
2020-05-02,6,5,1,晴,26,38,Sta1-Sta159,7
2020-05-03,7,5,1,多云,27,29,Sta1-Sta159,7
2020-05-04,1,5,1,多云,26,37,Sta1-Sta159,7
2020-05-05,2,5,0,多云,26,35,Sta1-Sta159,7
2020-05-06,3,5,0,多云,25,77,Sta1-Sta159,7
2020-05-07,4,5,0,中雨,23,76,Sta1-Sta159,7
2020-05-08,5,5,0,阴,21,76,Sta1-Sta159,7
2020-05-09,6,5,1,多云,19,82,Sta1-Sta159,7
2020-05-10,7,5,1,多云,22,32,Sta1-Sta159,7
2020-05-11,1,5,0,多云,21,97,Sta1-Sta159,7
2020-05-12,2,5,0,阴,20,82,Sta1-Sta159,7
2020-05-13,3,5,0,多云,20,74,Sta1-Sta159,7
2020-05-14,4,5,0,多云,22,88,Sta1-Sta159,7
2020-05-15,5,5,0,多云,24,95,Sta1-Sta159,7
2020-05-16,6,5,1,多云,25,46,Sta1-Sta159,7
2020-05-17,7,5,1,晴,27,38,Sta1-Sta159,7
2020-05-18,1,5,0,多云,27,87,Sta1-Sta159,7
2020-05-19,2,5,0,多云,25,89,Sta1-Sta159,7
2020-05-20,3,5,0,多云,24,91,Sta1-Sta159,7
2020-05-21,4,5,0,小雨,22,79,Sta1-Sta159,7
2020-05-22,5,5,0,阴,25,90,Sta1-Sta159,7
2020-05-23,6,5,1,多云,25,45,Sta1-Sta159,7
2020-05-24,7,5,1,小雨,18,30,Sta1-Sta159,7
2020-05-25,1,5,0,阴,21,85,Sta1-Sta159,7
2020-05-26,2,5,0,阴,21,73,Sta1-Sta159,7
2020-05-27,3,5,0,阴,19,76,Sta1-Sta159,7
2020-05-28,4,5,0,多云,20,85,Sta1-Sta159,7
2020-05-29,5,5,0,晴,23,80,Sta1-Sta159,7
2020-05-30,6,5,1,多云,24,60,Sta1-Sta159,7
