day,weekday,month,is_hoilday,weather,mean_temp,y,section,hour
2020-05-01,5,5,1,多云,24,36,Sta104-Sta55,7
2020-05-02,6,5,1,晴,26,37,Sta104-Sta55,7
2020-05-03,7,5,1,多云,27,39,Sta104-Sta55,7
2020-05-04,1,5,1,多云,26,44,Sta104-Sta55,7
2020-05-05,2,5,0,多云,26,43,Sta104-Sta55,7
2020-05-06,3,5,0,多云,25,117,Sta104-Sta55,7
2020-05-07,4,5,0,中雨,23,94,Sta104-Sta55,7
2020-05-08,5,5,0,阴,21,105,Sta104-Sta55,7
2020-05-09,6,5,1,多云,19,86,Sta104-Sta55,7
2020-05-10,7,5,1,多云,22,43,Sta104-Sta55,7
2020-05-11,1,5,0,多云,21,102,Sta104-Sta55,7
2020-05-12,2,5,0,阴,20,93,Sta104-Sta55,7
2020-05-13,3,5,0,多云,20,98,Sta104-Sta55,7
2020-05-14,4,5,0,多云,22,103,Sta104-Sta55,7
2020-05-15,5,5,0,多云,24,102,Sta104-Sta55,7
2020-05-16,6,5,1,多云,25,37,Sta104-Sta55,7
2020-05-17,7,5,1,晴,27,42,Sta104-Sta55,7
2020-05-18,1,5,0,多云,27,102,Sta104-Sta55,7
2020-05-19,2,5,0,多云,25,109,Sta104-Sta55,7
2020-05-20,3,5,0,多云,24,85,Sta104-Sta55,7
2020-05-21,4,5,0,小雨,22,98,Sta104-Sta55,7
2020-05-22,5,5,0,阴,25,110,Sta104-Sta55,7
2020-05-23,6,5,1,多云,25,52,Sta104-Sta55,7
2020-05-24,7,5,1,小雨,18,37,Sta104-Sta55,7
2020-05-25,1,5,0,阴,21,100,Sta104-Sta55,7
2020-05-26,2,5,0,阴,21,94,Sta104-Sta55,7
2020-05-27,3,5,0,阴,19,97,Sta104-Sta55,7
2020-05-28,4,5,0,多云,20,105,Sta104-Sta55,7
2020-05-29,5,5,0,晴,23,102,Sta104-Sta55,7
2020-05-30,6,5,1,多云,24,56,Sta104-Sta55,7
2020-05-31,7,5,1,多云,25,41,Sta104-Sta55,7
2020-06-01,1,6,0,阵雨,23,103,Sta104-Sta55,7
2020-06-02,2,6,0,多云,21,110,Sta104-Sta55,7
2020-06-03,3,6,0,多云,23,89,Sta104-Sta55,7
2020-06-04,4,6,0,多云,24,100,Sta104-Sta55,7
2020-06-05,5,6,0,多云,27,96,Sta104-Sta55,7
2020-06-06,6,6,1,阴,25,45,Sta104-Sta55,7
2020-06-07,7,6,1,阵雨,25,35,Sta104-Sta55,7
2020-06-08,1,6,1,阵雨,22,99,Sta104-Sta55,7
2020-06-09,2,6,1,多云,25,104,Sta104-Sta55,7
2020-06-10,3,6,0,多云,24,96,Sta104-Sta55,7
2020-06-11,4,6,0,阴,25,98,Sta104-Sta55,7
2020-06-12,5,6,0,阴,27,91,Sta104-Sta55,7
2020-06-13,6,6,1,阵雨,27,44,Sta104-Sta55,7
2020-06-14,7,6,1,多云,27,38,Sta104-Sta55,7
2020-06-15,1,6,0,多云,26,102,Sta104-Sta55,7
2020-06-16,2,6,0,小雨,24,108,Sta104-Sta55,7
2020-06-17,3,6,0,小雨,24,87,Sta104-Sta55,7
2020-06-18,4,6,0,多云,26,96,Sta104-Sta55,7
2020-06-19,5,6,0,多云,25,105,Sta104-Sta55,7
2020-06-20,6,6,1,阵雨,24,60,Sta104-Sta55,7
2020-06-21,7,6,1,阵雨,24,53,Sta104-Sta55,7
2020-06-22,1,6,0,阵雨,25,124,Sta104-Sta55,7
2020-06-23,2,6,0,阵雨,26,111,Sta104-Sta55,7
2020-06-24,3,6,0,晴,28,103,Sta104-Sta55,7
2020-06-25,4,6,0,多云,28,42,Sta104-Sta55,7
2020-06-26,5,6,0,阵雨,25,45,Sta104-Sta55,7
2020-06-27,6,6,1,阵雨,25,38,Sta104-Sta55,7
2020-06-28,7,6,1,阴,27,111,Sta104-Sta55,7
2020-06-29,1,6,0,多云,27,112,Sta104-Sta55,7
2020-06-30,2,6,0,多云,28,110,Sta104-Sta55,7
2020-07-01,3,7,0,暴雨,24,23,Sta104-Sta55,7
2020-07-02,4,7,0,多云,27,68,Sta104-Sta55,7
2020-07-03,5,7,0,多云,27,67,Sta104-Sta55,7
2020-07-04,6,7,1,阵雨,25,37,Sta104-Sta55,7
2020-07-05,7,7,1,阴,26,37,Sta104-Sta55,7
2020-07-06,1,7,0,阴,26,81,Sta104-Sta55,7
2020-07-07,2,7,0,多云,28,74,Sta104-Sta55,7
2020-07-08,3,7,0,阵雨,28,69,Sta104-Sta55,7
2020-07-09,4,7,0,阵雨,27,72,Sta104-Sta55,7
2020-07-10,5,7,0,阵雨,23,82,Sta104-Sta55,7
2020-07-11,6,7,1,阴,25,33,Sta104-Sta55,7
2020-07-12,7,7,1,多云,26,35,Sta104-Sta55,7
2020-07-13,1,7,0,阵雨,26,91,Sta104-Sta55,7
2020-07-14,2,7,0,小雨,27,87,Sta104-Sta55,7
2020-07-15,3,7,0,大雨,25,70,Sta104-Sta55,7
2020-07-16,4,7,0,阵雨,25,90,Sta104-Sta55,7
2020-07-17,5,7,0,阴,28,0,Sta104-Sta55,7
2020-07-18,6,7,1,阵雨,27,0,Sta104-Sta55,7
2020-07-19,7,7,1,多云,27,0,Sta104-Sta55,7
2020-07-20,1,7,0,阴,24,0,Sta104-Sta55,7
2020-07-21,2,7,0,阵雨,22,0,Sta104-Sta55,7
2020-07-22,3,7,0,阵雨,25,0,Sta104-Sta55,7
2020-07-23,4,7,0,阵雨,26,0,Sta104-Sta55,7
2020-05-01,5,5,1,多云,24,56,Sta55-Sta65,7
2020-05-02,6,5,1,晴,26,45,Sta55-Sta65,7
2020-05-03,7,5,1,多云,27,56,Sta55-Sta65,7
2020-05-04,1,5,1,多云,26,54,Sta55-Sta65,7
2020-05-05,2,5,0,多云,26,55,Sta55-Sta65,7
2020-05-06,3,5,0,多云,25,90,Sta55-Sta65,7
2020-05-07,4,5,0,中雨,23,95,Sta55-Sta65,7
2020-05-08,5,5,0,阴,21,91,Sta55-Sta65,7
2020-05-09,6,5,1,多云,19,82,Sta55-Sta65,7
2020-05-10,7,5,1,多云,22,54,Sta55-Sta65,7
2020-05-11,1,5,0,多云,21,109,Sta55-Sta65,7
2020-05-12,2,5,0,阴,20,101,Sta55-Sta65,7
2020-05-13,3,5,0,多云,20,93,Sta55-Sta65,7
2020-05-14,4,5,0,多云,22,94,Sta55-Sta65,7
2020-05-15,5,5,0,多云,24,98,Sta55-Sta65,7
2020-05-16,6,5,1,多云,25,44,Sta55-Sta65,7
2020-05-17,7,5,1,晴,27,54,Sta55-Sta65,7
2020-05-18,1,5,0,多云,27,86,Sta55-Sta65,7
2020-05-19,2,5,0,多云,25,104,Sta55-Sta65,7
2020-05-20,3,5,0,多云,24,87,Sta55-Sta65,7
2020-05-21,4,5,0,小雨,22,102,Sta55-Sta65,7
2020-05-22,5,5,0,阴,25,118,Sta55-Sta65,7
2020-05-23,6,5,1,多云,25,62,Sta55-Sta65,7
2020-05-24,7,5,1,小雨,18,46,Sta55-Sta65,7
2020-05-25,1,5,0,阴,21,93,Sta55-Sta65,7
2020-05-26,2,5,0,阴,21,86,Sta55-Sta65,7
2020-05-27,3,5,0,阴,19,98,Sta55-Sta65,7
2020-05-28,4,5,0,多云,20,87,Sta55-Sta65,7
2020-05-29,5,5,0,晴,23,97,Sta55-Sta65,7
2020-05-30,6,5,1,多云,24,70,Sta55-Sta65,7
2020-05-31,7,5,1,多云,25,46,Sta55-Sta65,7
2020-06-01,1,6,0,阵雨,23,104,Sta55-Sta65,7
2020-06-02,2,6,0,多云,21,99,Sta55-Sta65,7
2020-06-03,3,6,0,多云,23,91,Sta55-Sta65,7
