sta_id,sta_name,line,area,category
1004 ,Sta1,1号线,Dist1,工业区
1152 ,Sta2,10号线,Dist5,商业区
1112 ,Sta3,11号线,Dist6,综合区
1153 ,Sta4,10号线,Dist5,商业区
1173 ,Sta5,3号线,Dist8,中心商业区
1160 ,Sta6,10号线,Dist5,仓储区
1159 ,Sta7,10号线,Dist5,仓储区
1161 ,Sta8,10号线,Dist5,仓储区
1025 ,Sta9,2号线,Dist1,综合区
1099 ,Sta10,5号线,Dist5,商业区
1089 ,Sta11,3号线,Dist5,风景区
1054 ,Sta12,3号线,Dist7,工业区
1122 ,Sta13,11号线,Dist5,住宅区
1175 ,Sta14,12号线,Dist2,文教区
1115 ,Sta15,11号线,Dist8,中心商业区
1103 ,Sta16,5号线,Dist5,中心商业区
1140 ,Sta17,12号线,Dist8,住宅区
1031 ,Sta18,2号线,Dist1,中心商业区
1093 ,Sta19,4号线,Dist8,商业区
1119 ,Sta20,11号线,Dist5,中心商业区
1056 ,Sta21,3号线,Dist7,仓储区
1058 ,Sta22,3号线,Dist6,仓储区
1175 ,Sta23,11号线,Dist5,中心商业区
1044 ,Sta24,2号线,Dist6,文教区
1111 ,Sta25,11号线,Dist6,综合区
1141 ,Sta26,12号线,Dist5,住宅区
1035 ,Sta27,2号线,Dist2,中心商业区
1131 ,Sta28,11号线,Dist10,住宅区
1064 ,Sta29,3号线,Dist8,商业区
1061 ,Sta30,3号线,Dist6,中心商业区
1165 ,Sta31,12号线,Dist8,住宅区
1146 ,Sta32,12号线,Dist6,住宅区
1084 ,Sta33,3号线,Dist5,风景区
1019 ,Sta34,1号线,Dist3,住宅区
1081 ,Sta35,3号线,Dist5,风景区
1127 ,Sta36,11号线,Dist10,住宅区
1102 ,Sta37,5号线,Dist5,中心商业区
1097 ,Sta38,4号线,Dist8,商业区
1069 ,Sta39,3号线,Dist5,住宅区
1067 ,Sta40,3号线,Dist5,商业区
1060 ,Sta41,3号线,Dist6,仓储区
1080 ,Sta42,3号线,Dist5,风景区
1098 ,Sta43,5号线,Dist5,住宅区
1077 ,Sta44,3号线,Dist5,风景区
1135 ,Sta45,11号线,Dist5,工业区
1113 ,Sta46,11号线,Dist8,住宅区
1171 ,Sta47,2号线,Dist1,中心商业区
1036 ,Sta48,2号线,Dist2,仓储区
1023 ,Sta49,1号线,Dist3,住宅区
1051 ,Sta50,3号线,Dist7,卫星城
1046 ,Sta51,2号线,Dist7,文教区
1039 ,Sta52,2号线,Dist4,文教区
1027 ,Sta53,2号线,Dist1,综合区
1107 ,Sta54,5号线,Dist5,住宅区
1120 ,Sta55,11号线,Dist5,中心商业区
1176 ,Sta56,11号线,Dist5,中心商业区
1041 ,Sta57,2号线,Dist4,文教区
1096 ,Sta58,4号线,Dist8,商业区
1092 ,Sta59,4号线,Dist8,住宅区
1172 ,Sta60,12号线,Dist2,文教区
1050 ,Sta61,3号线,Dist7,卫星城
1094 ,Sta62,4号线,Dist8,商业区
1178 ,Sta63,11号线,Dist1,综合区
1013 ,Sta64,1号线,Dist3,中心商业区
1024 ,Sta65,1号线,Dist3,住宅区
1053 ,Sta66,3号线,Dist7,卫星城
1062 ,Sta67,3号线,Dist6,中心商业区
1038 ,Sta68,2号线,Dist4,住宅区
1104 ,Sta69,5号线,Dist5,住宅区
1121 ,Sta70,11号线,Dist5,住宅区
1042 ,Sta71,2号线,Dist4,文教区
1166 ,Sta72,12号线,Dist6,住宅区
1174 ,Sta73,12号线,Dist2,文教区
1021 ,Sta74,1号线,Dist3,住宅区
1136 ,Sta75,10号线,Dist5,仓储区
1040 ,Sta76,2号线,Dist4,文教区
1125 ,Sta77,11号线,Dist10,住宅区
1028 ,Sta78,2号线,Dist1,综合区
1030 ,Sta79,2号线,Dist1,中心商业区
1015 ,Sta80,1号线,Dist3,住宅区
1034 ,Sta81,2号线,Dist2,住宅区
1132 ,Sta82,11号线,Dist5,工业区
1009 ,Sta83,1号线,Dist2,综合区
1188 ,Sta84,4号线,Dist5,商业区
1151 ,Sta85,10号线,Dist5,商业区
1114 ,Sta86,11号线,Dist8,中心商业区
1187 ,Sta87,10号线,Dist8,中心商业区
1156 ,Sta88,10号线,Dist5,中心商业区
1014 ,Sta89,1号线,Dist3,中心商业区
1142 ,Sta90,12号线,Dist5,住宅区
